"139","???","IDK","","","","","",""
"137","0x1=0","IDK","","","","","",""
"132","I dont know","IDK","","","","","",""
"128","idk","IDK","","","","","",""
"190","im not sure","IDK","","","","","",""
"194","No idea","IDK","","","","","",""
"91","no idea","IDK","","","","","",""
"195","Not sure","IDK","","","","","","NIN"
"116","Still no idea.","IDK","","","","","",""
"165","to represent the digit number in the blanket.","IDK","","","","","",""
"109","0","NONS","","","","","",""
"146","5","NONS","","","","","",""
"136","6","NONS","","","","","",""
"179","7","NONS","","","","","",""
"170","12","NONS","","","","","","UNS"
"167","division","NONS","","","","","",""
"98","if I numerical order y = 0 if not y=1","NONS","","","","","",""
"121","Minus one?","NONS","","","","","",""
"134","representing","NONS","","","","","",""
"169","The intervals are closed","NONS","","","","","",""
"118","The square root of the integer.","NONS","","","","","",""
"171","largest number of digits minus least","NORM","","","","","XCOR",""
"95","The number with least value","NORM","","","","","XCOR",""
"160","adds the integers up","NORM","","","","","SCOR",""
"187","if the addition is odd, false","NORM","","SPI-0N","SPI-SUM","SPI-EO","SCOR",""
"106","If the function ends in an odd number, the output is 1.","NORM","SPI-1P","","SPI-ELEM","SPI-EO","SCOR",""
"176","If the list starts and ends with the same type of number (odd or even) it evaluates to 1.","NORM","SPI-1P","","","SPI-EO","SCOR",""
"105","output=1 if 1 is in list, output=0 if 1 isn't in list","NORM","SPI-1N","SPI-0N","","","SCOR",""
"197","The function finds the sum","NORM","","","","","SCOR",""
"177","even number of inputs is 0, odd is 1","NORM","SPI-1P","SPI-0P","","SPI-EO","MCOR",""
"151","every number that is a factor of 3 gives a response of 1","NORM","SPI-1P","","","","MCOR",""
"196","I am confusion, but from what I've gathered, the function multiples the odd number by itself to equal 1.","NORM","SPI-1P","","","SPI-EO","MCOR",""
"155","If the first input is even and the second input is odd, it equals 1","NORM","SPI-1P","","SPI-ELEM","SPI-EO","MCOR",""
"108","if the function has an odd number, it evaluates to 1. if the function has an even number, it evaluates to 0","NORM","SPI-1P","SPI-0P","SPI-ELEM","SPI-EO","MCOR",""
"125","Looks at the first number and if it is even, returns 1, and if it is odd it returns 0.","NORM","SPI-1P","SPI-0P","SPI-ELEM","SPI-EO","MCOR",""
"161","odd means 1 even means 0","NORM","SPI-1P","SPI-0P","","SPI-EO","MCOR",""
"149","odd numbers","NORM","","","","SPI-EO","MCOR",""
"182","odd numbers equal one and even numbers equal zero","NORM","SPI-1P","SPI-0P","","SPI-EO","MCOR",""
"157","odd numbers refer to 1 and even numbers refer to 0.","NORM","SPI-1P","SPI-0P","","SPI-EO","MCOR",""
"141","odds and evens 1 or 0","NORM","SPI-1P","SPI-0P","","","MCOR",""
"166","This function outputs a 1 or a 0 based on the number of odd or even numbers in the input.","NORM","SPI-1P","SPI-0P","","SPI-EO","MCOR",""
"140","if numbers added up are even, output is 0; if numbers added up are odd, output is 1","NORM","SPI-1C","SPI-0C","SPI-SUM","SPI-EO","COR",""
"150","If sum of the input is even, the output is 0, if the sum of the input is odd, the output is 1","NORM","SPI-1C","SPI-0C","SPI-SUM","SPI-EO","COR",""
"153","total if even number is 0, odd is 1","NORM","SPI-1C","SPI-0C","SPI-SUM","SPI-EO","COR",""
